Iteration	LogLikelihood	MoveType
575	-4402.5730	Swapped from Chain 1
575	-4402.5730	Reject
576	-4402.5730	Reject
577	-4401.5418	Swapped from Chain 1
577	-4401.5418	Reject
578	-4401.5418	Reject
579	-4401.4463	Swapped from Chain 1
579	-4401.4463	Reject
580	-4401.4463	Reject
581	-4401.4464	Swapped from Chain 1
581	-4401.4464	Reject
582	-4401.4464	Reject
583	-4401.5442	Swapped from Chain 1
583	-4401.5442	Reject
584	-4401.5442	Reject
585	-4401.4467	Swapped from Chain 1
585	-4401.4467	Reject
586	-4401.4467	Reject
587	-4401.4511	Swapped from Chain 1
587	-4401.4511	Reject
588	-4401.4511	Reject
589	-4402.5773	Swapped from Chain 1
589	-4402.5773	Reject
590	-4402.5773	Reject
591	-4401.4642	Swapped from Chain 1
591	-4401.4642	Reject
592	-4401.4642	Reject
593	-4401.4960	Swapped from Chain 1
593	-4401.4960	Reject
594	-4401.4960	Reject
595	-4401.4492	Swapped from Chain 1
595	-4401.4492	Reject
596	-4401.4492	Reject
597	-4401.5442	Swapped from Chain 1
597	-4401.5442	Reject
598	-4401.5442	Reject
599	-4401.5407	Swapped from Chain 1
599	-4401.5407	Reject
600	-4401.5407	Reject
601	-4401.4459	Swapped from Chain 1
601	-4401.4459	Reject
602	-4401.4459	Reject
603	-4401.4459	Swapped from Chain 1
603	-4401.4459	Reject
604	-4401.4459	Reject
605	-4401.5757	Swapped from Chain 1
605	-4401.5757	Reject
606	-4401.5757	Reject
607	-4401.4464	Swapped from Chain 1
607	-4401.4464	Reject
608	-4401.4464	Reject
609	-4401.5895	Swapped from Chain 1
609	-4401.5895	Reject
610	-4401.5895	Reject
611	-4401.5418	Swapped from Chain 1
611	-4401.5418	Reject
612	-4401.5418	Reject
613	-4401.4467	Swapped from Chain 1
613	-4401.4467	Reject
614	-4401.4467	Reject
615	-4402.5730	Swapped from Chain 1
615	-4402.5730	Reject
616	-4402.5730	Reject
617	-4401.4642	Swapped from Chain 1
617	-4401.4642	Reject
618	-4401.4642	Reject
619	-4401.4459	Swapped from Chain 1
619	-4401.4459	Reject
620	-4401.4459	Reject
621	-4401.5442	Swapped from Chain 1
621	-4401.5442	Reject
622	-4401.5442	Reject
623	-4401.4511	Swapped from Chain 1
623	-4401.4511	Reject
624	-4401.4511	Reject
625	-4401.4459	Swapped from Chain 1
625	-4401.4459	Reject
626	-4401.4459	Reject
627	-4401.5757	Swapped from Chain 1
627	-4401.5757	Reject
628	-4401.5757	Reject
629	-4401.4960	Swapped from Chain 1
629	-4401.4960	Reject
630	-4401.4960	Reject
631	-4401.4492	Swapped from Chain 1
631	-4401.4492	Reject
632	-4401.4492	Reject
633	-4401.5407	Swapped from Chain 1
633	-4401.5407	Reject
634	-4401.5407	Reject
635	-4401.5611	Swapped from Chain 1
635	-4401.5611	Reject
636	-4401.5611	Reject
637	-4402.5730	Swapped from Chain 1
637	-4402.5730	Reject
638	-4402.5730	Reject
639	-4402.5773	Swapped from Chain 1
639	-4402.5773	Reject
640	-4402.5773	Reject
641	-4401.5418	Swapped from Chain 1
641	-4401.5418	Reject
642	-4401.5418	Reject
643	-4402.5454	Swapped from Chain 1
643	-4402.5454	Reject
644	-4402.5454	Reject
645	-4401.4464	Swapped from Chain 1
645	-4401.4464	Reject
646	-4401.4464	Reject
647	-4402.5484	Swapped from Chain 1
647	-4402.5484	Reject
648	-4402.5484	Reject
649	-4401.4467	Swapped from Chain 1
649	-4401.4467	Reject
650	-4401.4467	Reject
651	-4401.4459	Swapped from Chain 1
651	-4401.4459	Reject
652	-4401.4459	Reject
653	-4401.4642	Swapped from Chain 1
653	-4401.4642	Reject
654	-4401.4642	Reject
655	-4401.4833	Swapped from Chain 1
655	-4401.4833	Reject
656	-4401.4833	Reject
657	-4401.4459	Swapped from Chain 1
657	-4401.4459	Reject
658	-4401.4459	Reject
659	-4401.5442	Swapped from Chain 1
659	-4401.5442	Reject
660	-4401.5442	Reject
661	-4401.4511	Swapped from Chain 1
661	-4401.4511	Reject
662	-4401.4511	Reject
663	-4401.5757	Swapped from Chain 1
663	-4401.5757	Reject
664	-4401.5757	Reject
665	-4401.4960	Swapped from Chain 1
665	-4401.4960	Reject
666	-4401.4960	Reject
667	-4401.4492	Swapped from Chain 1
667	-4401.4492	Reject
668	-4401.4492	Reject
669	-4401.5407	Swapped from Chain 1
669	-4401.5407	Reject
670	-4401.5407	Reject
671	-4401.5611	Swapped from Chain 1
671	-4401.5611	Reject
672	-4401.5611	Reject
673	-4401.4509	Swapped from Chain 1
673	-4401.4509	Reject
674	-4401.4509	Reject
675	-4402.5730	Swapped from Chain 1
675	-4402.5730	Reject
676	-4402.5730	Reject
677	-4401.5418	Swapped from Chain 1
677	-4401.5418	Reject
678	-4401.5418	Reject
679	-4401.4467	Swapped from Chain 1
679	-4401.4467	Reject
680	-4401.4467	Reject
681	-4401.4464	Swapped from Chain 1
681	-4401.4464	Reject
682	-4401.4464	Reject
683	-4402.5484	Swapped from Chain 1
683	-4402.5484	Reject
684	-4402.5484	Reject
685	-4401.5761	Swapped from Chain 1
685	-4401.5761	Reject
686	-4401.5761	Reject
687	-4402.5454	Swapped from Chain 1
687	-4402.5454	Reject
688	-4402.5454	Reject
689	-4401.4459	Swapped from Chain 1
689	-4401.4459	Reject
690	-4401.4459	Reject
691	-4401.5411	Swapped from Chain 1
691	-4401.5411	Reject
692	-4401.5411	Reject
693	-4401.4459	Swapped from Chain 1
693	-4401.4459	Reject
694	-4401.4459	Reject
695	-4401.5407	Swapped from Chain 1
695	-4401.5407	Reject
696	-4401.5407	Reject
697	-4401.5442	Swapped from Chain 1
697	-4401.5442	Reject
698	-4401.5442	Reject
699	-4401.5611	Swapped from Chain 1
699	-4401.5611	Reject
700	-4401.5611	Reject
701	-4401.5757	Swapped from Chain 1
701	-4401.5757	Reject
702	-4401.5757	Reject
703	-4401.4492	Swapped from Chain 1
